line_no,doi,compound,entity,title,year,authors,existing_sources
199,10.3390/cells14231872,,,"Psychedelics in Multiple Sclerosis: Mechanisms, Challenges, and Prospects for Neuroimmune Modulation and Repair.",2025,Anchesi I; Astorino MF; Raffaele I; Donato DS; Silvestro S; Minuti A; Calabrò M; Scuruchi M; Cipriano GL,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
200,10.1016/j.pnpbp.2025.111278,,,Psychedelics in neuroinflammation: Mechanisms and therapeutic potential.,2025,de Deus JL; Maia JM; Soriano RN; Amorim MR; Branco LGS,candidate_paper_corpus | mechanistic:paper_library
201,10.1007/s12035-025-05097-9,,,Psychedelics in the Treatment of Neurologic and Psychiatric Disorders: Coincidence or a New Point of View.,2025,Lashgari NA; Khalaji M; Rana P; Badrabadi F; Rahnama M; Nasoori H; Momeni Roudsari N; Khosravi Nia MM; Shafaroodi H,candidate_paper_corpus | disorder:paper_library
202,10.3389/fphar.2025.1703480,,,"Receptor interaction profiles of 4-alkoxy-2,6-dimethoxyphenethylamines (Ψ derivatives) and related amphetamines.",2025,Kolaczynska KE; Trachsel D; Hoener MC; Liechti ME; Luethi D,candidate_paper_corpus | mechanistic:paper_library
203,10.1176/appi.ajp.20240378,,,Redefining Ketamine Pharmacology for Antidepressant Action: Synergistic NMDA and Opioid Receptor Interactions?,2025,Levinstein MR; Budinich RC; Bonaventura J; Schatzberg AF; Zarate CA Jr; Michaelides M,candidate_paper_corpus | disorder:paper_library | mechanistic:curated | mechanistic:paper_library
207,10.1093/ijnp/pyaf035,,,Role of endogenous serotonin in psychedelic-like effects of psilocybin in mice.,2025,Erkizia-Santamaría I; Martínez-Álvarez N; Salinas-Novoa L; Meana JJ; Ortega JE,candidate_paper_corpus | disorder:paper_library | disorder:stubs | mechanistic:paper_library
209,10.3389/fphar.2025.1630158,,,S-ketamine facilitates motor function recovery after brachial plexus root avulsion and reimplantation in mice.,2025,Huang R; Lin B; Yu L; Luo Q; Tian H; Li C; Wei N; Zhuang S; Chen J; Li Y,candidate_paper_corpus | mechanistic:paper_library
210,10.1038/s41380-024-02655-w,,,Serotonergic psychedelic 5-MeO-DMT alters plasticity-related gene expression and generates anxiolytic effects in stressed mice.,2025,Nogueira M; Ferreira Golbert DC; Menezes R; Nóbrega de Almeida R; Galvão-Coelho NL; Siroky AN; Lima TZ; Maia H; Leão KE; Leão RN,candidate_paper_corpus | disorder:paper_library
211,10.1007/s00213-023-06482-9,,,Serotonin 2C receptors are also important in head-twitch responses in male mice.,2025,Custodio RJP; Ortiz DM; Lee HJ; Sayson LV; Kim M; Lee YS; Kim KM; Cheong JH; Kim HJ,candidate_paper_corpus | mechanistic:paper_library
212,10.1021/acschemneuro.5c00647,,,Serotonin 5-HT(2C) Receptor Signaling Analysis Reveals Psychedelic Biased Agonism.,2025,Bonniwell EM; Alabdali R; Hennessey JJ; McKee JL; Cavalco NG; Lammers JC; Moore EJ; Franchini L; Orlandi C; McCorvy JD,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
