# query|compound|entity
2C-T-7 D5 receptor DRD5 functional assay agonist antagonist|2C-T-7|D5 receptor (DRD5)
2C-T-7 Alpha1A adrenergic receptor ADRA1A binding affinity Ki|2C-T-7|Alpha1A adrenergic receptor (ADRA1A)
2C-T-7 Alpha1A adrenergic receptor ADRA1A receptor pharmacology assay|2C-T-7|Alpha1A adrenergic receptor (ADRA1A)
2C-T-7 Alpha1A adrenergic receptor ADRA1A functional assay agonist antagonist|2C-T-7|Alpha1A adrenergic receptor (ADRA1A)
2C-T-7 Alpha1B adrenergic receptor ADRA1B binding affinity Ki|2C-T-7|Alpha1B adrenergic receptor (ADRA1B)
2C-T-7 Alpha1B adrenergic receptor ADRA1B receptor pharmacology assay|2C-T-7|Alpha1B adrenergic receptor (ADRA1B)
2C-T-7 Alpha1B adrenergic receptor ADRA1B functional assay agonist antagonist|2C-T-7|Alpha1B adrenergic receptor (ADRA1B)
2C-T-7 Alpha2A adrenergic receptor ADRA2A binding affinity Ki|2C-T-7|Alpha2A adrenergic receptor (ADRA2A)
2C-T-7 Alpha2A adrenergic receptor ADRA2A receptor pharmacology assay|2C-T-7|Alpha2A adrenergic receptor (ADRA2A)
2C-T-7 Alpha2A adrenergic receptor ADRA2A functional assay agonist antagonist|2C-T-7|Alpha2A adrenergic receptor (ADRA2A)
2C-T-7 Alpha2B adrenergic receptor ADRA2B binding affinity Ki|2C-T-7|Alpha2B adrenergic receptor (ADRA2B)
2C-T-7 Alpha2B adrenergic receptor ADRA2B receptor pharmacology assay|2C-T-7|Alpha2B adrenergic receptor (ADRA2B)
2C-T-7 Alpha2B adrenergic receptor ADRA2B functional assay agonist antagonist|2C-T-7|Alpha2B adrenergic receptor (ADRA2B)
2C-T-7 Alpha2C adrenergic receptor ADRA2C binding affinity Ki|2C-T-7|Alpha2C adrenergic receptor (ADRA2C)
2C-T-7 Alpha2C adrenergic receptor ADRA2C receptor pharmacology assay|2C-T-7|Alpha2C adrenergic receptor (ADRA2C)
2C-T-7 Alpha2C adrenergic receptor ADRA2C functional assay agonist antagonist|2C-T-7|Alpha2C adrenergic receptor (ADRA2C)
2C-T-7 Beta1 adrenergic receptor ADRB1 binding affinity Ki|2C-T-7|Beta1 adrenergic receptor (ADRB1)
2C-T-7 Beta1 adrenergic receptor ADRB1 receptor pharmacology assay|2C-T-7|Beta1 adrenergic receptor (ADRB1)
2C-T-7 Beta1 adrenergic receptor ADRB1 functional assay agonist antagonist|2C-T-7|Beta1 adrenergic receptor (ADRB1)
2C-T-7 Beta2 adrenergic receptor ADRB2 binding affinity Ki|2C-T-7|Beta2 adrenergic receptor (ADRB2)
2C-T-7 Beta2 adrenergic receptor ADRB2 receptor pharmacology assay|2C-T-7|Beta2 adrenergic receptor (ADRB2)
2C-T-7 Beta2 adrenergic receptor ADRB2 functional assay agonist antagonist|2C-T-7|Beta2 adrenergic receptor (ADRB2)
2C-T-7 M1 muscarinic receptor CHRM1 binding affinity Ki|2C-T-7|M1 muscarinic receptor (CHRM1)
2C-T-7 M1 muscarinic receptor CHRM1 receptor pharmacology assay|2C-T-7|M1 muscarinic receptor (CHRM1)
2C-T-7 M1 muscarinic receptor CHRM1 functional assay agonist antagonist|2C-T-7|M1 muscarinic receptor (CHRM1)
2C-T-7 M2 muscarinic receptor CHRM2 binding affinity Ki|2C-T-7|M2 muscarinic receptor (CHRM2)
2C-T-7 M2 muscarinic receptor CHRM2 receptor pharmacology assay|2C-T-7|M2 muscarinic receptor (CHRM2)
2C-T-7 M2 muscarinic receptor CHRM2 functional assay agonist antagonist|2C-T-7|M2 muscarinic receptor (CHRM2)
2C-T-7 M3 muscarinic receptor CHRM3 binding affinity Ki|2C-T-7|M3 muscarinic receptor (CHRM3)
2C-T-7 M3 muscarinic receptor CHRM3 receptor pharmacology assay|2C-T-7|M3 muscarinic receptor (CHRM3)
2C-T-7 M3 muscarinic receptor CHRM3 functional assay agonist antagonist|2C-T-7|M3 muscarinic receptor (CHRM3)
2C-T-7 M4 muscarinic receptor CHRM4 binding affinity Ki|2C-T-7|M4 muscarinic receptor (CHRM4)
2C-T-7 M4 muscarinic receptor CHRM4 receptor pharmacology assay|2C-T-7|M4 muscarinic receptor (CHRM4)
2C-T-7 M4 muscarinic receptor CHRM4 functional assay agonist antagonist|2C-T-7|M4 muscarinic receptor (CHRM4)
2C-T-7 M5 muscarinic receptor CHRM5 binding affinity Ki|2C-T-7|M5 muscarinic receptor (CHRM5)
2C-T-7 M5 muscarinic receptor CHRM5 receptor pharmacology assay|2C-T-7|M5 muscarinic receptor (CHRM5)
2C-T-7 M5 muscarinic receptor CHRM5 functional assay agonist antagonist|2C-T-7|M5 muscarinic receptor (CHRM5)
2C-T-7 H1 receptor HRH1 binding affinity Ki|2C-T-7|H1 receptor (HRH1)
2C-T-7 H1 receptor HRH1 receptor pharmacology assay|2C-T-7|H1 receptor (HRH1)
2C-T-7 H1 receptor HRH1 functional assay agonist antagonist|2C-T-7|H1 receptor (HRH1)
2C-T-7 H2 receptor HRH2 binding affinity Ki|2C-T-7|H2 receptor (HRH2)
2C-T-7 H2 receptor HRH2 receptor pharmacology assay|2C-T-7|H2 receptor (HRH2)
2C-T-7 H2 receptor HRH2 functional assay agonist antagonist|2C-T-7|H2 receptor (HRH2)
2C-T-7 Sigma-1 receptor SIGMAR1 binding affinity Ki|2C-T-7|Sigma-1 receptor (SIGMAR1)
2C-T-7 Sigma-1 receptor SIGMAR1 receptor pharmacology assay|2C-T-7|Sigma-1 receptor (SIGMAR1)
2C-T-7 Sigma-1 receptor SIGMAR1 functional assay agonist antagonist|2C-T-7|Sigma-1 receptor (SIGMAR1)
2C-T-7 Sigma-2 receptor TMEM97 binding affinity Ki|2C-T-7|Sigma-2 receptor (TMEM97)
2C-T-7 Sigma-2 receptor TMEM97 receptor pharmacology assay|2C-T-7|Sigma-2 receptor (TMEM97)
2C-T-7 Sigma-2 receptor TMEM97 functional assay agonist antagonist|2C-T-7|Sigma-2 receptor (TMEM97)
2C-T-7 kappa opioid receptor OPRK1 binding affinity Ki|2C-T-7|kappa opioid receptor (OPRK1)
2C-T-7 kappa opioid receptor OPRK1 receptor pharmacology assay|2C-T-7|kappa opioid receptor (OPRK1)
2C-T-7 kappa opioid receptor OPRK1 functional assay agonist antagonist|2C-T-7|kappa opioid receptor (OPRK1)
2C-T-7 mu opioid receptor OPRM1 binding affinity Ki|2C-T-7|mu opioid receptor (OPRM1)
2C-T-7 mu opioid receptor OPRM1 receptor pharmacology assay|2C-T-7|mu opioid receptor (OPRM1)
2C-T-7 mu opioid receptor OPRM1 functional assay agonist antagonist|2C-T-7|mu opioid receptor (OPRM1)
2C-T-7 delta opioid receptor OPRD1 binding affinity Ki|2C-T-7|delta opioid receptor (OPRD1)
2C-T-7 delta opioid receptor OPRD1 receptor pharmacology assay|2C-T-7|delta opioid receptor (OPRD1)
2C-T-7 delta opioid receptor OPRD1 functional assay agonist antagonist|2C-T-7|delta opioid receptor (OPRD1)
2C-T-7 NMDA receptor binding affinity Ki|2C-T-7|NMDA receptor
2C-T-7 NMDA receptor pharmacology assay|2C-T-7|NMDA receptor
2C-T-7 NMDA receptor functional assay agonist antagonist|2C-T-7|NMDA receptor
2C-T-7 AMPA receptor binding affinity Ki|2C-T-7|AMPA receptor
2C-T-7 AMPA receptor pharmacology assay|2C-T-7|AMPA receptor
2C-T-7 AMPA receptor functional assay agonist antagonist|2C-T-7|AMPA receptor
2C-T-7 TrkB NTRK2 binding affinity Ki|2C-T-7|TrkB (NTRK2)
2C-T-7 TrkB NTRK2 receptor pharmacology assay|2C-T-7|TrkB (NTRK2)
2C-T-7 TrkB NTRK2 functional assay agonist antagonist|2C-T-7|TrkB (NTRK2)
2C-T-7 CB1 receptor CNR1 binding affinity Ki|2C-T-7|CB1 receptor (CNR1)
2C-T-7 CB1 receptor CNR1 receptor pharmacology assay|2C-T-7|CB1 receptor (CNR1)
2C-T-7 CB1 receptor CNR1 functional assay agonist antagonist|2C-T-7|CB1 receptor (CNR1)
2C-T-7 CB2 receptor CNR2 binding affinity Ki|2C-T-7|CB2 receptor (CNR2)
2C-T-7 CB2 receptor CNR2 receptor pharmacology assay|2C-T-7|CB2 receptor (CNR2)
2C-T-7 CB2 receptor CNR2 functional assay agonist antagonist|2C-T-7|CB2 receptor (CNR2)
5-MeO-DiPT 5-HT2A binding affinity Ki|5-MeO-DiPT|5-HT2A
5-MeO-DiPT 5-HT2A receptor pharmacology assay|5-MeO-DiPT|5-HT2A
5-MeO-DiPT 5-HT2A functional assay agonist antagonist|5-MeO-DiPT|5-HT2A
5-MeO-DiPT 5-HT2B binding affinity Ki|5-MeO-DiPT|5-HT2B
5-MeO-DiPT 5-HT2B receptor pharmacology assay|5-MeO-DiPT|5-HT2B
5-MeO-DiPT 5-HT2B functional assay agonist antagonist|5-MeO-DiPT|5-HT2B
5-MeO-DiPT 5-HT2C binding affinity Ki|5-MeO-DiPT|5-HT2C
5-MeO-DiPT 5-HT2C receptor pharmacology assay|5-MeO-DiPT|5-HT2C
5-MeO-DiPT 5-HT2C functional assay agonist antagonist|5-MeO-DiPT|5-HT2C
5-MeO-DiPT 5-HT1A binding affinity Ki|5-MeO-DiPT|5-HT1A
5-MeO-DiPT 5-HT1A receptor pharmacology assay|5-MeO-DiPT|5-HT1A
5-MeO-DiPT 5-HT1A functional assay agonist antagonist|5-MeO-DiPT|5-HT1A
5-MeO-DiPT 5-HT1B binding affinity Ki|5-MeO-DiPT|5-HT1B
5-MeO-DiPT 5-HT1B receptor pharmacology assay|5-MeO-DiPT|5-HT1B
5-MeO-DiPT 5-HT1B functional assay agonist antagonist|5-MeO-DiPT|5-HT1B
5-MeO-DiPT 5-HT1D binding affinity Ki|5-MeO-DiPT|5-HT1D
5-MeO-DiPT 5-HT1D receptor pharmacology assay|5-MeO-DiPT|5-HT1D
5-MeO-DiPT 5-HT1D functional assay agonist antagonist|5-MeO-DiPT|5-HT1D
5-MeO-DiPT 5-HT1E binding affinity Ki|5-MeO-DiPT|5-HT1E
5-MeO-DiPT 5-HT1E receptor pharmacology assay|5-MeO-DiPT|5-HT1E
5-MeO-DiPT 5-HT1E functional assay agonist antagonist|5-MeO-DiPT|5-HT1E
5-MeO-DiPT 5-HT1F binding affinity Ki|5-MeO-DiPT|5-HT1F
5-MeO-DiPT 5-HT1F receptor pharmacology assay|5-MeO-DiPT|5-HT1F
5-MeO-DiPT 5-HT1F functional assay agonist antagonist|5-MeO-DiPT|5-HT1F
5-MeO-DiPT 5-HT5A binding affinity Ki|5-MeO-DiPT|5-HT5A
5-MeO-DiPT 5-HT5A receptor pharmacology assay|5-MeO-DiPT|5-HT5A
5-MeO-DiPT 5-HT5A functional assay agonist antagonist|5-MeO-DiPT|5-HT5A
5-MeO-DiPT 5-HT6 binding affinity Ki|5-MeO-DiPT|5-HT6
5-MeO-DiPT 5-HT6 receptor pharmacology assay|5-MeO-DiPT|5-HT6
5-MeO-DiPT 5-HT6 functional assay agonist antagonist|5-MeO-DiPT|5-HT6
5-MeO-DiPT 5-HT7 binding affinity Ki|5-MeO-DiPT|5-HT7
5-MeO-DiPT 5-HT7 receptor pharmacology assay|5-MeO-DiPT|5-HT7
5-MeO-DiPT 5-HT7 functional assay agonist antagonist|5-MeO-DiPT|5-HT7
5-MeO-DiPT mGluR2 GRM2 binding affinity Ki|5-MeO-DiPT|mGluR2 (GRM2)
5-MeO-DiPT mGluR2 GRM2 receptor pharmacology assay|5-MeO-DiPT|mGluR2 (GRM2)
5-MeO-DiPT mGluR2 GRM2 functional assay agonist antagonist|5-MeO-DiPT|mGluR2 (GRM2)
5-MeO-DiPT TAAR1 binding affinity Ki|5-MeO-DiPT|TAAR1
5-MeO-DiPT TAAR1 receptor pharmacology assay|5-MeO-DiPT|TAAR1
5-MeO-DiPT TAAR1 functional assay agonist antagonist|5-MeO-DiPT|TAAR1
5-MeO-DiPT SERT SLC6A4 binding affinity Ki|5-MeO-DiPT|SERT (SLC6A4)
5-MeO-DiPT SERT SLC6A4 receptor pharmacology assay|5-MeO-DiPT|SERT (SLC6A4)
5-MeO-DiPT SERT SLC6A4 functional assay agonist antagonist|5-MeO-DiPT|SERT (SLC6A4)
5-MeO-DiPT NET SLC6A2 binding affinity Ki|5-MeO-DiPT|NET (SLC6A2)
5-MeO-DiPT NET SLC6A2 receptor pharmacology assay|5-MeO-DiPT|NET (SLC6A2)
5-MeO-DiPT NET SLC6A2 functional assay agonist antagonist|5-MeO-DiPT|NET (SLC6A2)
5-MeO-DiPT DAT SLC6A3 binding affinity Ki|5-MeO-DiPT|DAT (SLC6A3)
5-MeO-DiPT DAT SLC6A3 receptor pharmacology assay|5-MeO-DiPT|DAT (SLC6A3)
5-MeO-DiPT DAT SLC6A3 functional assay agonist antagonist|5-MeO-DiPT|DAT (SLC6A3)
5-MeO-DiPT VMAT2 SLC18A2 binding affinity Ki|5-MeO-DiPT|VMAT2 (SLC18A2)
5-MeO-DiPT VMAT2 SLC18A2 receptor pharmacology assay|5-MeO-DiPT|VMAT2 (SLC18A2)
5-MeO-DiPT VMAT2 SLC18A2 functional assay agonist antagonist|5-MeO-DiPT|VMAT2 (SLC18A2)
5-MeO-DiPT D1 receptor DRD1 binding affinity Ki|5-MeO-DiPT|D1 receptor (DRD1)
5-MeO-DiPT D1 receptor DRD1 receptor pharmacology assay|5-MeO-DiPT|D1 receptor (DRD1)
5-MeO-DiPT D1 receptor DRD1 functional assay agonist antagonist|5-MeO-DiPT|D1 receptor (DRD1)
5-MeO-DiPT D2 receptor DRD2 binding affinity Ki|5-MeO-DiPT|D2 receptor (DRD2)
5-MeO-DiPT D2 receptor DRD2 receptor pharmacology assay|5-MeO-DiPT|D2 receptor (DRD2)
5-MeO-DiPT D2 receptor DRD2 functional assay agonist antagonist|5-MeO-DiPT|D2 receptor (DRD2)
5-MeO-DiPT D3 receptor DRD3 binding affinity Ki|5-MeO-DiPT|D3 receptor (DRD3)
5-MeO-DiPT D3 receptor DRD3 receptor pharmacology assay|5-MeO-DiPT|D3 receptor (DRD3)
5-MeO-DiPT D3 receptor DRD3 functional assay agonist antagonist|5-MeO-DiPT|D3 receptor (DRD3)
5-MeO-DiPT D4 receptor DRD4 binding affinity Ki|5-MeO-DiPT|D4 receptor (DRD4)
5-MeO-DiPT D4 receptor DRD4 receptor pharmacology assay|5-MeO-DiPT|D4 receptor (DRD4)
5-MeO-DiPT D4 receptor DRD4 functional assay agonist antagonist|5-MeO-DiPT|D4 receptor (DRD4)
5-MeO-DiPT D5 receptor DRD5 binding affinity Ki|5-MeO-DiPT|D5 receptor (DRD5)
5-MeO-DiPT D5 receptor DRD5 receptor pharmacology assay|5-MeO-DiPT|D5 receptor (DRD5)
5-MeO-DiPT D5 receptor DRD5 functional assay agonist antagonist|5-MeO-DiPT|D5 receptor (DRD5)
5-MeO-DiPT Alpha1A adrenergic receptor ADRA1A binding affinity Ki|5-MeO-DiPT|Alpha1A adrenergic receptor (ADRA1A)
5-MeO-DiPT Alpha1A adrenergic receptor ADRA1A receptor pharmacology assay|5-MeO-DiPT|Alpha1A adrenergic receptor (ADRA1A)
5-MeO-DiPT Alpha1A adrenergic receptor ADRA1A functional assay agonist antagonist|5-MeO-DiPT|Alpha1A adrenergic receptor (ADRA1A)
5-MeO-DiPT Alpha1B adrenergic receptor ADRA1B binding affinity Ki|5-MeO-DiPT|Alpha1B adrenergic receptor (ADRA1B)
5-MeO-DiPT Alpha1B adrenergic receptor ADRA1B receptor pharmacology assay|5-MeO-DiPT|Alpha1B adrenergic receptor (ADRA1B)
5-MeO-DiPT Alpha1B adrenergic receptor ADRA1B functional assay agonist antagonist|5-MeO-DiPT|Alpha1B adrenergic receptor (ADRA1B)
5-MeO-DiPT Alpha2A adrenergic receptor ADRA2A binding affinity Ki|5-MeO-DiPT|Alpha2A adrenergic receptor (ADRA2A)
5-MeO-DiPT Alpha2A adrenergic receptor ADRA2A receptor pharmacology assay|5-MeO-DiPT|Alpha2A adrenergic receptor (ADRA2A)
5-MeO-DiPT Alpha2A adrenergic receptor ADRA2A functional assay agonist antagonist|5-MeO-DiPT|Alpha2A adrenergic receptor (ADRA2A)
5-MeO-DiPT Alpha2B adrenergic receptor ADRA2B binding affinity Ki|5-MeO-DiPT|Alpha2B adrenergic receptor (ADRA2B)
5-MeO-DiPT Alpha2B adrenergic receptor ADRA2B receptor pharmacology assay|5-MeO-DiPT|Alpha2B adrenergic receptor (ADRA2B)
5-MeO-DiPT Alpha2B adrenergic receptor ADRA2B functional assay agonist antagonist|5-MeO-DiPT|Alpha2B adrenergic receptor (ADRA2B)
5-MeO-DiPT Alpha2C adrenergic receptor ADRA2C binding affinity Ki|5-MeO-DiPT|Alpha2C adrenergic receptor (ADRA2C)
5-MeO-DiPT Alpha2C adrenergic receptor ADRA2C receptor pharmacology assay|5-MeO-DiPT|Alpha2C adrenergic receptor (ADRA2C)
5-MeO-DiPT Alpha2C adrenergic receptor ADRA2C functional assay agonist antagonist|5-MeO-DiPT|Alpha2C adrenergic receptor (ADRA2C)
5-MeO-DiPT Beta1 adrenergic receptor ADRB1 binding affinity Ki|5-MeO-DiPT|Beta1 adrenergic receptor (ADRB1)
5-MeO-DiPT Beta1 adrenergic receptor ADRB1 receptor pharmacology assay|5-MeO-DiPT|Beta1 adrenergic receptor (ADRB1)
5-MeO-DiPT Beta1 adrenergic receptor ADRB1 functional assay agonist antagonist|5-MeO-DiPT|Beta1 adrenergic receptor (ADRB1)
5-MeO-DiPT Beta2 adrenergic receptor ADRB2 binding affinity Ki|5-MeO-DiPT|Beta2 adrenergic receptor (ADRB2)
5-MeO-DiPT Beta2 adrenergic receptor ADRB2 receptor pharmacology assay|5-MeO-DiPT|Beta2 adrenergic receptor (ADRB2)
5-MeO-DiPT Beta2 adrenergic receptor ADRB2 functional assay agonist antagonist|5-MeO-DiPT|Beta2 adrenergic receptor (ADRB2)
5-MeO-DiPT M1 muscarinic receptor CHRM1 binding affinity Ki|5-MeO-DiPT|M1 muscarinic receptor (CHRM1)
5-MeO-DiPT M1 muscarinic receptor CHRM1 receptor pharmacology assay|5-MeO-DiPT|M1 muscarinic receptor (CHRM1)
5-MeO-DiPT M1 muscarinic receptor CHRM1 functional assay agonist antagonist|5-MeO-DiPT|M1 muscarinic receptor (CHRM1)
5-MeO-DiPT M2 muscarinic receptor CHRM2 binding affinity Ki|5-MeO-DiPT|M2 muscarinic receptor (CHRM2)
5-MeO-DiPT M2 muscarinic receptor CHRM2 receptor pharmacology assay|5-MeO-DiPT|M2 muscarinic receptor (CHRM2)
5-MeO-DiPT M2 muscarinic receptor CHRM2 functional assay agonist antagonist|5-MeO-DiPT|M2 muscarinic receptor (CHRM2)
5-MeO-DiPT M3 muscarinic receptor CHRM3 binding affinity Ki|5-MeO-DiPT|M3 muscarinic receptor (CHRM3)
5-MeO-DiPT M3 muscarinic receptor CHRM3 receptor pharmacology assay|5-MeO-DiPT|M3 muscarinic receptor (CHRM3)
5-MeO-DiPT M3 muscarinic receptor CHRM3 functional assay agonist antagonist|5-MeO-DiPT|M3 muscarinic receptor (CHRM3)
5-MeO-DiPT M4 muscarinic receptor CHRM4 binding affinity Ki|5-MeO-DiPT|M4 muscarinic receptor (CHRM4)
5-MeO-DiPT M4 muscarinic receptor CHRM4 receptor pharmacology assay|5-MeO-DiPT|M4 muscarinic receptor (CHRM4)
5-MeO-DiPT M4 muscarinic receptor CHRM4 functional assay agonist antagonist|5-MeO-DiPT|M4 muscarinic receptor (CHRM4)
5-MeO-DiPT M5 muscarinic receptor CHRM5 binding affinity Ki|5-MeO-DiPT|M5 muscarinic receptor (CHRM5)
5-MeO-DiPT M5 muscarinic receptor CHRM5 receptor pharmacology assay|5-MeO-DiPT|M5 muscarinic receptor (CHRM5)
5-MeO-DiPT M5 muscarinic receptor CHRM5 functional assay agonist antagonist|5-MeO-DiPT|M5 muscarinic receptor (CHRM5)
5-MeO-DiPT H1 receptor HRH1 binding affinity Ki|5-MeO-DiPT|H1 receptor (HRH1)
5-MeO-DiPT H1 receptor HRH1 receptor pharmacology assay|5-MeO-DiPT|H1 receptor (HRH1)
5-MeO-DiPT H1 receptor HRH1 functional assay agonist antagonist|5-MeO-DiPT|H1 receptor (HRH1)
5-MeO-DiPT H2 receptor HRH2 binding affinity Ki|5-MeO-DiPT|H2 receptor (HRH2)
5-MeO-DiPT H2 receptor HRH2 receptor pharmacology assay|5-MeO-DiPT|H2 receptor (HRH2)
5-MeO-DiPT H2 receptor HRH2 functional assay agonist antagonist|5-MeO-DiPT|H2 receptor (HRH2)
5-MeO-DiPT Sigma-1 receptor SIGMAR1 binding affinity Ki|5-MeO-DiPT|Sigma-1 receptor (SIGMAR1)
5-MeO-DiPT Sigma-1 receptor SIGMAR1 receptor pharmacology assay|5-MeO-DiPT|Sigma-1 receptor (SIGMAR1)
5-MeO-DiPT Sigma-1 receptor SIGMAR1 functional assay agonist antagonist|5-MeO-DiPT|Sigma-1 receptor (SIGMAR1)
5-MeO-DiPT Sigma-2 receptor TMEM97 binding affinity Ki|5-MeO-DiPT|Sigma-2 receptor (TMEM97)
5-MeO-DiPT Sigma-2 receptor TMEM97 receptor pharmacology assay|5-MeO-DiPT|Sigma-2 receptor (TMEM97)
5-MeO-DiPT Sigma-2 receptor TMEM97 functional assay agonist antagonist|5-MeO-DiPT|Sigma-2 receptor (TMEM97)
5-MeO-DiPT kappa opioid receptor OPRK1 binding affinity Ki|5-MeO-DiPT|kappa opioid receptor (OPRK1)
5-MeO-DiPT kappa opioid receptor OPRK1 receptor pharmacology assay|5-MeO-DiPT|kappa opioid receptor (OPRK1)
5-MeO-DiPT kappa opioid receptor OPRK1 functional assay agonist antagonist|5-MeO-DiPT|kappa opioid receptor (OPRK1)
5-MeO-DiPT mu opioid receptor OPRM1 binding affinity Ki|5-MeO-DiPT|mu opioid receptor (OPRM1)
5-MeO-DiPT mu opioid receptor OPRM1 receptor pharmacology assay|5-MeO-DiPT|mu opioid receptor (OPRM1)
5-MeO-DiPT mu opioid receptor OPRM1 functional assay agonist antagonist|5-MeO-DiPT|mu opioid receptor (OPRM1)
5-MeO-DiPT delta opioid receptor OPRD1 binding affinity Ki|5-MeO-DiPT|delta opioid receptor (OPRD1)
5-MeO-DiPT delta opioid receptor OPRD1 receptor pharmacology assay|5-MeO-DiPT|delta opioid receptor (OPRD1)
5-MeO-DiPT delta opioid receptor OPRD1 functional assay agonist antagonist|5-MeO-DiPT|delta opioid receptor (OPRD1)
5-MeO-DiPT NMDA receptor binding affinity Ki|5-MeO-DiPT|NMDA receptor
5-MeO-DiPT NMDA receptor pharmacology assay|5-MeO-DiPT|NMDA receptor
5-MeO-DiPT NMDA receptor functional assay agonist antagonist|5-MeO-DiPT|NMDA receptor
5-MeO-DiPT AMPA receptor binding affinity Ki|5-MeO-DiPT|AMPA receptor
5-MeO-DiPT AMPA receptor pharmacology assay|5-MeO-DiPT|AMPA receptor
5-MeO-DiPT AMPA receptor functional assay agonist antagonist|5-MeO-DiPT|AMPA receptor
5-MeO-DiPT TrkB NTRK2 binding affinity Ki|5-MeO-DiPT|TrkB (NTRK2)
5-MeO-DiPT TrkB NTRK2 receptor pharmacology assay|5-MeO-DiPT|TrkB (NTRK2)
5-MeO-DiPT TrkB NTRK2 functional assay agonist antagonist|5-MeO-DiPT|TrkB (NTRK2)
5-MeO-DiPT CB1 receptor CNR1 binding affinity Ki|5-MeO-DiPT|CB1 receptor (CNR1)
5-MeO-DiPT CB1 receptor CNR1 receptor pharmacology assay|5-MeO-DiPT|CB1 receptor (CNR1)
5-MeO-DiPT CB1 receptor CNR1 functional assay agonist antagonist|5-MeO-DiPT|CB1 receptor (CNR1)
5-MeO-DiPT CB2 receptor CNR2 binding affinity Ki|5-MeO-DiPT|CB2 receptor (CNR2)
5-MeO-DiPT CB2 receptor CNR2 receptor pharmacology assay|5-MeO-DiPT|CB2 receptor (CNR2)
5-MeO-DiPT CB2 receptor CNR2 functional assay agonist antagonist|5-MeO-DiPT|CB2 receptor (CNR2)
DiPT 5-HT2A binding affinity Ki|DiPT|5-HT2A
DiPT 5-HT2A receptor pharmacology assay|DiPT|5-HT2A
DiPT 5-HT2A functional assay agonist antagonist|DiPT|5-HT2A
DiPT 5-HT2B binding affinity Ki|DiPT|5-HT2B
DiPT 5-HT2B receptor pharmacology assay|DiPT|5-HT2B
DiPT 5-HT2B functional assay agonist antagonist|DiPT|5-HT2B
DiPT 5-HT2C binding affinity Ki|DiPT|5-HT2C
DiPT 5-HT2C receptor pharmacology assay|DiPT|5-HT2C
DiPT 5-HT2C functional assay agonist antagonist|DiPT|5-HT2C
DiPT 5-HT1A binding affinity Ki|DiPT|5-HT1A
DiPT 5-HT1A receptor pharmacology assay|DiPT|5-HT1A
DiPT 5-HT1A functional assay agonist antagonist|DiPT|5-HT1A
DiPT 5-HT1B binding affinity Ki|DiPT|5-HT1B
DiPT 5-HT1B receptor pharmacology assay|DiPT|5-HT1B
DiPT 5-HT1B functional assay agonist antagonist|DiPT|5-HT1B
DiPT 5-HT1D binding affinity Ki|DiPT|5-HT1D
DiPT 5-HT1D receptor pharmacology assay|DiPT|5-HT1D
DiPT 5-HT1D functional assay agonist antagonist|DiPT|5-HT1D
DiPT 5-HT1E binding affinity Ki|DiPT|5-HT1E
DiPT 5-HT1E receptor pharmacology assay|DiPT|5-HT1E
DiPT 5-HT1E functional assay agonist antagonist|DiPT|5-HT1E
DiPT 5-HT1F binding affinity Ki|DiPT|5-HT1F
DiPT 5-HT1F receptor pharmacology assay|DiPT|5-HT1F
DiPT 5-HT1F functional assay agonist antagonist|DiPT|5-HT1F
DiPT 5-HT5A binding affinity Ki|DiPT|5-HT5A
DiPT 5-HT5A receptor pharmacology assay|DiPT|5-HT5A
DiPT 5-HT5A functional assay agonist antagonist|DiPT|5-HT5A
DiPT 5-HT6 binding affinity Ki|DiPT|5-HT6
DiPT 5-HT6 receptor pharmacology assay|DiPT|5-HT6
DiPT 5-HT6 functional assay agonist antagonist|DiPT|5-HT6
DiPT 5-HT7 binding affinity Ki|DiPT|5-HT7
DiPT 5-HT7 receptor pharmacology assay|DiPT|5-HT7
DiPT 5-HT7 functional assay agonist antagonist|DiPT|5-HT7
DiPT mGluR2 GRM2 binding affinity Ki|DiPT|mGluR2 (GRM2)
DiPT mGluR2 GRM2 receptor pharmacology assay|DiPT|mGluR2 (GRM2)
DiPT mGluR2 GRM2 functional assay agonist antagonist|DiPT|mGluR2 (GRM2)
DiPT TAAR1 binding affinity Ki|DiPT|TAAR1
DiPT TAAR1 receptor pharmacology assay|DiPT|TAAR1
DiPT TAAR1 functional assay agonist antagonist|DiPT|TAAR1
DiPT SERT SLC6A4 binding affinity Ki|DiPT|SERT (SLC6A4)
DiPT SERT SLC6A4 receptor pharmacology assay|DiPT|SERT (SLC6A4)
DiPT SERT SLC6A4 functional assay agonist antagonist|DiPT|SERT (SLC6A4)
DiPT NET SLC6A2 binding affinity Ki|DiPT|NET (SLC6A2)
DiPT NET SLC6A2 receptor pharmacology assay|DiPT|NET (SLC6A2)
DiPT NET SLC6A2 functional assay agonist antagonist|DiPT|NET (SLC6A2)
DiPT DAT SLC6A3 binding affinity Ki|DiPT|DAT (SLC6A3)
DiPT DAT SLC6A3 receptor pharmacology assay|DiPT|DAT (SLC6A3)
DiPT DAT SLC6A3 functional assay agonist antagonist|DiPT|DAT (SLC6A3)
DiPT VMAT2 SLC18A2 binding affinity Ki|DiPT|VMAT2 (SLC18A2)
DiPT VMAT2 SLC18A2 receptor pharmacology assay|DiPT|VMAT2 (SLC18A2)
DiPT VMAT2 SLC18A2 functional assay agonist antagonist|DiPT|VMAT2 (SLC18A2)
